id,address,enabled,date_added,date_modified,comment,date_updated,number,invalid_domains,status
1,https://raw.githubusercontent.com/StevenBlack/hosts/master/hosts,1,1589311107,1589311107,"Migrated from /etc/pihole/adlists.list",1625367123,81793,0,1
3,http://sysctl.org/cameleon/hosts,1,1589311107,1589311107,"Migrated from /etc/pihole/adlists.list",1623470444,20566,0,2
4,https://s3.amazonaws.com/lists.disconnect.me/simple_tracking.txt,1,1589311107,1589311107,"Migrated from /etc/pihole/adlists.list",1623470445,34,0,2
5,https://s3.amazonaws.com/lists.disconnect.me/simple_ad.txt,1,1589311107,1589311107,"Migrated from /etc/pihole/adlists.list",1623470447,2701,0,2
7,https://github.com/stevejenkins/tag-barnakle/blob/master/tagbarnakle.txt,1,1589311107,1589311107,"Migrated from /etc/pihole/adlists.list",1624157526,13,0,2
8,https://raw.githubusercontent.com/PolishFiltersTeam/KADhosts/master/KADhosts_without_controversies.txt,1,1605840604,1605840604,,1623470457,0,0,2
9,https://raw.githubusercontent.com/crazy-max/WindowsSpyBlocker/master/data/hosts/spy.txt,1,1605840680,1605840680,,1623470457,375,0,2
10,https://raw.githubusercontent.com/FadeMind/hosts.extras/master/add.Spam/hosts,1,1605840699,1605840699,,1623470458,73,0,2
11,https://v.firebog.net/hosts/Easyprivacy.txt,1,1615440029,1615440029,,1625367129,9769,0,1
12,https://s3.amazonaws.com/lists.disconnect.me/simple_malvertising.txt,1,1615440360,1615440360,,1623470478,2735,0,2
